Player,Country,% Team Runs,Mat,Inns,NO,50s,100s,0s,HS,Runs,S/R,Avg,Ca,St,Series_Code, H/A, Decade_Index ,Matches
Abdur Razzak,Bangladesh,1.20%,3,3,1,0,0,0,3,6,42.86,3.00,0,0,0607,Home,63
Mohammad Rafique,Bangladesh,1.59%,3,3,0,0,0,2,8,8,34.78,2.67,0,0,0607,Home,63
Syed Rasel,Bangladesh,,1,1,0,0,0,1,0*,0,0.00,0.00,1,0,0607,Home,63
Johnson M G,Australia,,3,0,0,0,0,0,-,0,-,-,0,0,0607,Away,63
Dorey B R,Australia,,1,0,0,0,0,0,-,0,-,-,0,0,0607,Away,63
Cullen D J,Australia,,3,0,0,0,0,0,-,0,-,-,2,0,0607,Away,63
Hopes J R,Australia,,1,0,0,0,0,0,-,0,-,-,0,0,0607,Away,63
Shahadat Hossain,Bangladesh,0.60%,2,2,2,0,0,0,2*,3,50.00,-,0,0,0607,Home,63
Bracken N W,Australia,,2,0,0,0,0,0,-,0,-,-,0,0,0607,Away,63
Lee B,Australia,2.09%,2,1,1,0,0,0,12*,12,40.00,-,3,0,0607,Away,63
Hussey M E K,Australia,26.32%,3,3,2,2,0,0,85,150,83.80,150.00,2,0,0693,Home,63
Marsh S E,Australia,30.70%,3,3,1,2,0,0,76,175,78.83,87.50,0,0,0693,Home,63
White C L,Australia,5.44%,3,2,1,0,0,0,22*,31,88.57,31.00,3,0,0693,Home,63
Watson S R,Australia,9.82%,2,2,0,0,0,0,29,56,72.73,28.00,2,0,0693,Home,63
Tamim Iqbal,Bangladesh,26.58%,3,3,0,1,0,1,63,84,83.17,28.00,0,0,0693,Away,63
Hopes J R,Australia,3.86%,3,1,0,0,0,0,22,22,73.33,22.00,0,0,0693,Home,63
Mashrafe Mortaza,Bangladesh,6.65%,3,3,2,0,0,0,8*,21,46.67,21.00,1,0,0693,Away,63
Shakib Al Hasan,Bangladesh,16.77%,3,3,0,0,0,0,27,53,63.10,17.67,0,0,0693,Away,63
Hussey D J,Australia,6.14%,3,2,0,0,0,0,24,35,71.43,17.50,3,0,0693,Home,63
Raqibul Hasan,Bangladesh,4.43%,1,1,0,0,0,0,14,14,28.00,14.00,0,0,0693,Away,63
Clarke M J,Australia,7.02%,3,3,0,0,0,0,25,40,38.46,13.33,4,0,0693,Home,63
Dhiman Ghosh,Bangladesh,10.13%,3,3,0,0,0,0,30,32,66.67,10.67,1,1,0693,Away,63
Junaid Siddique,Bangladesh,6.65%,2,2,0,0,0,1,21,21,42.00,10.50,0,0,0693,Away,63
Haddin B J,Australia,3.33%,3,2,0,0,0,0,16,19,43.18,9.50,3,0,0693,Home,63
Abdur Razzak,Bangladesh,8.54%,3,3,0,0,0,0,14,27,38.03,9.00,0,0,0693,Away,63
